frame,clip,MSE,PSNR,SSIM
43,SVD_rank10,0.0,inf,1.0
43,batch_rank10,365.46927,22.502296447753906,0.7473373278016783
44,PCA_rank10,60.023804,30.34756851196289,0.9315003710445543
44,SVD_rank10,0.0,inf,1.0
44,batch_rank10,336.4972,22.86098861694336,0.7591462119953822
45,PCA_rank10,28.357395,33.60414123535156,0.9602614473094923
45,SVD_rank10,0.0,inf,1.0
45,batch_rank10,247.04057,24.203121185302734,0.8001958921014674
46,PCA_rank10,14.522708,36.51032638549805,0.9760282148754078
46,SVD_rank10,0.0,inf,1.0
46,batch_rank10,235.55109,24.40995216369629,0.8148282653782541
47,PCA_rank10,6.6877084,39.878028869628906,0.9852242165011492
47,SVD_rank10,0.0,inf,1.0
47,batch_rank10,229.7525,24.51820182800293,0.8184270272024058
48,PCA_rank10,8.609323,38.78111267089844,0.9867713481643009
48,SVD_rank10,0.0,inf,1.0
48,batch_rank10,216.43604,24.777507781982422,0.8068573935004626
49,PCA_rank10,11.255208,37.61726760864258,0.9843101267519258
49,SVD_rank10,0.0,inf,1.0
49,batch_rank10,216.48927,24.776439666748047,0.819606942248959
50,PCA_rank10,5.8940625,40.42665481567383,0.9881127175199601
50,SVD_rank10,0.0,inf,1.0
50,batch_rank10,202.25891,25.071725845336914,0.8401764242125742
51,PCA_rank10,5.8153644,40.48503494262695,0.9860948662793967
51,SVD_rank10,0.0,inf,1.0
51,batch_rank10,191.92084,25.299583435058594,0.8478785882979802
52,PCA_rank10,4.1273437,41.974098205566406,0.9873988127284863
52,SVD_rank10,0.0,inf,1.0
52,batch_rank10,228.93213,24.533737182617188,0.830440629449083
53,PCA_rank10,7.2678647,39.5167350769043,0.9861000528983154
53,SVD_rank10,0.0,inf,1.0
53,batch_rank10,334.58307,22.88576316833496,0.7972460036594903
54,PCA_rank10,19.732449,35.178993225097656,0.9725867106555925
54,SVD_rank10,0.0,inf,1.0
54,batch_rank10,373.83188,22.404041290283203,0.7834928048385368
55,PCA_rank10,30.82974,33.24110412597656,0.9605327217930157
55,SVD_rank10,0.0,inf,1.0
55,batch_rank10,366.15173,22.494192123413086,0.781877952410518
56,PCA_rank10,27.702032,33.7056884765625,0.9625779603270388
56,SVD_rank10,0.0,inf,1.0
56,batch_rank10,362.89172,22.53303337097168,0.7797503824112155
57,PCA_rank10,10.439115,37.94416809082031,0.9816766277126291
57,SVD_rank10,0.0,inf,1.0
57,batch_rank10,341.01172,22.803112030029297,0.7734399040108462
58,PCA_rank10,7.8984375,39.155391693115234,0.9870178166502143
58,SVD_rank10,0.0,inf,1.0
58,batch_rank10,263.91605,23.916147232055664,0.7953400211406878
59,PCA_rank10,23.245104,34.467491149902344,0.9727614608175643
59,SVD_rank10,0.0,inf,1.0
59,batch_rank10,312.7329,23.17906951904297,0.7912179596736569
60,PCA_rank10,28.740156,33.54591369628906,0.9682116784914631
60,SVD_rank10,0.0,inf,1.0
60,batch_rank10,330.2352,22.942569732666016,0.8009602529833527
61,PCA_rank10,24.320051,34.27116012573242,0.9708417419215094
61,SVD_rank10,0.0,inf,1.0
61,batch_rank10,342.99973,22.777864456176758,0.8077356023379665
62,PCA_rank10,26.420834,33.911338806152344,0.9695166241293478
62,SVD_rank10,0.0,inf,1.0
62,batch_rank10,328.37848,22.967056274414062,0.8163321128527539
63,PCA_rank10,26.216042,33.94512939453125,0.967843449950682
63,SVD_rank10,0.0,inf,1.0
63,batch_rank10,315.29004,23.143701553344727,0.8214397802981305
64,PCA_rank10,29.766615,33.39350891113281,0.9633675460437233
64,SVD_rank10,0.0,inf,1.0
64,batch_rank10,303.95517,23.30270767211914,0.8200437334871074
65,PCA_rank10,36.80698,32.471500396728516,0.9572288232911423
65,SVD_rank10,0.0,inf,1.0
65,batch_rank10,287.0739,23.550865173339844,0.8218177108397342
66,PCA_rank10,44.2287,31.673763275146484,0.9522552799224003
66,SVD_rank10,0.0,inf,1.0
66,batch_rank10,257.4612,24.023685455322266,0.8244091129946094
67,PCA_rank10,44.199165,31.67666244506836,0.9514269888066695
67,SVD_rank10,0.0,inf,1.0
67,batch_rank10,213.66516,24.833467483520508,0.842161276339931
68,PCA_rank10,14.136198,36.62747573852539,0.9781841738207407
68,SVD_rank10,0.0,inf,1.0
68,batch_rank10,257.85953,24.016971588134766,0.8278435685343831
69,PCA_rank10,5.7011456,40.57118225097656,0.9860092537840561
69,SVD_rank10,0.0,inf,1.0
69,batch_rank10,271.9628,23.785707473754883,0.8127585544124335
70,PCA_rank10,3.8376043,42.290199279785156,0.9877849642898207
70,SVD_rank10,0.0,inf,1.0
70,batch_rank10,235.40504,24.412647247314453,0.8192805163800885
71,PCA_rank10,4.2584896,41.8382453918457,0.9885995594523168
71,SVD_rank10,0.0,inf,1.0
71,batch_rank10,190.01302,25.34296989440918,0.8270655212446937
72,PCA_rank10,9.562917,38.32489776611328,0.9847654170311957
